ingredient_id,ingredient_name
1,turkey
2,chicken
3,olive
4,onion
5,celery
6,garlic
7,sausage
8,clove
9,butter
10,parsley
11,ribs
12,egg
13,bacon
14,potato
15,cinnamon
16,apple
17,sour cream
18,squash
19,water
20,carrot
21,bell pepper
22,rice
23,shrimp
24,cumin
25,tomato
26,pepper
27,coconut
28,sugar
29,milk
30,kombu
31,mushroom
32,dashima
33,peach
34,lemon
35,vodka
36,cornmeal
37,muffin
38,gin
39,liqueur
40,orange
41,bourbon
42,cherry
43,whiskey
44,rye
45,vermouth
46,yeast
47,banana
48,vanilla
49,peanut
50,chive
51,white wine
52,cheddar
53,wine
54,anchovy
55,parmesan
56,zucchini
57,ginger
58,noodle
59,vinegar
60,soy
61,soy sauce
62,sauce
63,radish
64,scallion
65,tofu
66,capers
67,paprika
68,walnut
69,chile
70,pomegranate
71,molasses
72,curry
73,shallot
74,nut
75,sesame
76,chili
77,cilantro
78,rosemary
79,date
80,lamb
81,kumquat
82,nutmeg
83,spinach
84,brussels sprout
85,sage
86,mustard
87,ricotta
88,fennel
89,oregano
90,honey
91,cheese
92,lettuce
93,radicchio
94,thyme
95,chickpea
96,dill
97,mozzarella
98,basil
99,yogurt
100,mint
101,feta
102,pork
103,arugula
104,pea
105,pumpkin
106,tarragon
107,beef
108,sunflower seed
109,oat
110,quinoa
111,buttermilk
112,whole wheat
113,salsa
114,lime
115,avocado
116,truffle
117,bread
118,fontina
119,bean
120,kirsch
121,brandy
122,ice cream
123,sweet potato
124,lemongrass
125,coriander
126,hazelnut
127,chocolate
128,fish
129,corn
130,almond
131,pear
132,cake
133,pie
134,eggplant
135,barley
136,peanut butter
137,pasta
138,plum
139,watermelon
140,pine nut
141,coffee
142,cucumber
143,rhubarb
144,maple syrup
145,swiss cheese
146,leek
147,pastry
148,sugar snap pea
149,parsnip
150,turnip
151,sandwich
152,lobster
153,tea
154,raspberry
155,pizza
156,grape
157,broccoli
158,pistachio
159,apricot
160,cauliflower
161,currant
162,raisin
163,turmeric
164,cardamom
165,mayonnaise
166,cod
167,salmon
168,champagne
169,kale
170,pickle
171,cookie
172,cream cheese
173,fig
174,goat cheese
175,chard
176,oyster
177,cabbage
178,blue cheese
179,pecan
180,anise
181,endive
182,horseradish
183,ham
184,cranberry
185,quark
186,rum
187,saffron
188,duck
189,scallop
190,veal
191,cashew
192,tapioca
193,skim milk
194,mussel
195,melon
196,kohlrabi
197,prosciutto
198,wakame
199,candy
200,steak
201,rutabaga
202,lentil
203,bonito
204,clam
205,hummus
206,asparagus
207,tortillas
208,marshmallow
209,squid
210,swordfish
211,watercress
212,couscous
213,jam
214,tequila
215,hot pepper
216,cantaloupe
217,gelatin
218,sorbet
219,club soda
220,edible flower
221,nectarine
222,pineapple
223,macadamia nut
224,marzipan
225,grapefruit
226,strawberry
227,pesto
228,tomatillo
229,halibut
230,blood orange
231,prosecco
232,passion fruit
233,taco
234,mango
235,prune
236,snapper
237,chestnut
238,biscuit
239,pancake
240,seaweed
241,trout
242,rose petal
243,tilapia
244,tuna
245,persimmon
246,beer
247,jerusalem artichoke
248,crab
249,tamarind
250,wild rice
251,blackberry
252,bulgur
253,tangerine
254,wasabi
255,guava
256,quince
257,papaya
258,okra
259,gouda
260,citrus
261,kiwi
262,lemonade
263,cottage cheese
264,blueberry
265,quail
266,caviar
267,berry
268,plantain
269,yuca
270,venison
271,goose
